1/11/16 20:43
Estadísticas del proyecto

                  	Segmentos	Palabras	Caracteres (sin espacios)	Caracteres (incluyendo espacios)	#Files	
Total:            	    22764	  179723	                   907978	                         1069986	   267	
Pendientes:       	    19888	  170483	                   858911	                         1014460	   250	
Únicos:           	    18710	  169037	                   853104	                         1007491	   267	
Pendientes únicos:	    17957	  163652	                   824620	                          974754	   250	


Estadísticas por archivo individual:

Nombre de archivo                            	Total segmentos	Segmentos pendientes	Segmentos únicos	Segmentos únicos pendientes	Palabras en total	Palabras pendientes	Palabras únicas	Palabras únicas pendientes	Caracteres en total (sin espacios)	Caracteres pendientes (sin espacios)	Caracteres únicos (sin espacios)	Caracteres únicos pendientes (sin espacios)	Caracteres en total (incluyendo espacios)	Caracteres pendientes (incluyendo espacios)	Caracteres únicos (incluyendo espacios)	Caracteres únicos pendientes (incluyendo espacios)	
Type/IO.pod                                  	            212	                 201	             195	                        192	             1886	               1868	           1822	                      1819	                              8741	                                8645	                            8444	                                       8426	                                    10316	                                      10211	                                   9971	                                              9953	
Type/IO/ArgFiles.pm                          	             58	                  49	              41	                         41	              335	                319	            290	                       290	                              1688	                                1602	                            1454	                                       1454	                                     1950	                                       1854	                                   1684	                                              1684	
Type/IO/Handle.pod                           	             97	                  90	              81	                         79	              705	                688	            660	                       655	                              3596	                                3507	                            3351	                                       3326	                                     4130	                                       4031	                                   3858	                                              3830	
Type/IO/Notification.pod                     	             31	                  23	              24	                         23	              211	                202	            205	                       202	                              1239	                                1191	                            1202	                                       1191	                                     1398	                                       1344	                                   1358	                                              1344	
Type/IO/Path.pod                             	            254	                 235	             213	                        209	             2270	               2245	           2151	                      2139	                             11789	                               11627	                           11205	                                      11125	                                    13558	                                      13381	                                  12892	                                             12804	
Type/IO/Pipe.pod                             	             13	                  10	              10	                         10	               99	                 93	             93	                        93	                               488	                                 459	                             459	                                        459	                                      562	                                        530	                                    530	                                               530	
Type/IO/Socket.pod                           	             34	                  31	              21	                         21	              269	                263	            218	                       218	                              1312	                                1283	                            1038	                                       1038	                                     1504	                                       1472	                                   1192	                                              1192	
Type/IO/Socket/Async.pod                     	             82	                  68	              60	                         60	              923	                908	            884	                       884	                              4590	                                4514	                            4387	                                       4387	                                     5270	                                       5185	                                   5044	                                              5044	
Type/IO/Socket/INET.pod                      	             50	                  45	              33	                         33	              299	                291	            242	                       242	                              1552	                                1509	                            1269	                                       1269	                                     1762	                                       1715	                                   1441	                                              1441	
Type/IO/Spec.pod                             	             73	                   4	              43	                          4	              368	                 44	            299	                        44	                              2004	                                 255	                            1592	                                        255	                                     2231	                                        281	                                   1781	                                               281	
Type/IO/Spec/Cygwin.pod                      	             72	                   0	               4	                          0	              334	                  0	             44	                         0	                              1809	                                   0	                             217	                                          0	                                     2013	                                          0	                                    250	                                                 0	
Type/IO/Spec/QNX.pod                         	             72	                   0	               3	                          0	              334	                  0	             37	                         0	                              1798	                                   0	                             176	                                          0	                                     2002	                                          0	                                    204	                                                 0	
Type/IO/Spec/Unix.pod                        	             72	                   0	               4	                          0	              334	                  0	             44	                         0	                              1806	                                   0	                             214	                                          0	                                     2013	                                          0	                                    250	                                                 0	
Type/IO/Spec/Win32.pod                       	             72	                   0	               3	                          0	              347	                  0	             23	                         0	                              1875	                                   0	                             126	                                          0	                                     2093	                                          0	                                    143	                                                 0	
Type/Iterable.pod                            	             48	                  43	              33	                         32	              346	                335	            319	                       316	                              1846	                                1789	                            1702	                                       1684	                                     2127	                                       2064	                                   1971	                                              1951	
Type/Iterator.pod                            	             73	                  70	              52	                         52	              578	                572	            525	                       525	                              3331	                                3302	                            3047	                                       3047	                                     3750	                                       3718	                                   3439	                                              3439	
Type/Junction.pod                            	             62	                  54	              49	                         48	              543	                536	            517	                       515	                              2761	                                2725	                            2634	                                       2626	                                     3338	                                       3297	                                   3192	                                              3181	
Type/Label.pod                               	             29	                  24	              20	                         20	              120	                114	            108	                       108	                               584	                                 553	                             521	                                        521	                                      697	                                        663	                                    629	                                               629	
Type/List.pod                                	            550	                 509	             420	                        418	             4006	               3955	           3730	                      3725	                             18622	                               18312	                           17270	                                      17261	                                    22274	                                      21951	                                  20750	                                             20738	
Type/Lock.pod                                	             47	                  42	              34	                         34	              227	                221	            209	                       209	                              1276	                                1245	                            1181	                                       1181	                                     1434	                                       1400	                                   1332	                                              1332	
Type/Macro.pod                               	              7	                   5	               5	                          5	               39	                 35	             35	                        35	                               206	                                 190	                             190	                                        190	                                      237	                                        219	                                    219	                                               219	
Type/Map.pod                                 	             77	                  73	              50	                         50	              500	                494	            449	                       449	                              2274	                                2244	                            1993	                                       1993	                                     2668	                                       2635	                                   2360	                                              2360	
Type/Match.pod                               	             42	                  39	              34	                         34	              370	                364	            327	                       327	                              1766	                                1737	                            1562	                                       1562	                                     2072	                                       2040	                                   1835	                                              1835	
Type/Metamodel/AttributeContainer.pod        	             35	                  29	              27	                         27	              228	                218	            214	                       214	                              1327	                                1273	                            1259	                                       1259	                                     1499	                                       1440	                                   1424	                                              1424	
Type/Metamodel/C3MRO.pod                     	             25	                  22	              22	                         22	              261	                255	            255	                       255	                              1432	                                1403	                            1403	                                       1403	                                     1650	                                       1618	                                   1618	                                              1618	
Type/Metamodel/ClassHOW.pod                  	             54	                  50	              50	                         50	              443	                437	            437	                       437	                              2513	                                2483	                            2483	                                       2483	                                     2882	                                       2849	                                   2849	                                              2849	
Type/Metamodel/Finalization.pod              	             15	                  12	              12	                         12	              105	                 99	             99	                        99	                               665	                                 636	                             636	                                        636	                                      743	                                        711	                                    711	                                               711	
Type/Metamodel/MethodContainer.pod           	             35	                  29	              28	                         28	              266	                256	            254	                       254	                              1493	                                1439	                            1432	                                       1432	                                     1737	                                       1678	                                   1669	                                              1669	
Type/Metamodel/MROBasedMethodDispatch.pod    	             20	                  15	              15	                         15	              133	                123	            123	                       123	                               883	                                 830	                             830	                                        830	                                      984	                                        926	                                    926	                                               926	
Type/Metamodel/MultipleInheritance.pod       	             38	                  35	              35	                         35	              356	                350	            350	                       350	                              1864	                                1835	                            1835	                                       1835	                                     2143	                                       2111	                                   2111	                                              2111	
Type/Metamodel/Naming.pod                    	             14	                  11	              10	                         10	               68	                 62	             59	                        59	                               370	                                 341	                             325	                                        325	                                      424	                                        392	                                    374	                                               374	
Type/Metamodel/Primitives.pod                	             52	                  48	              48	                         48	              489	                483	            483	                       483	                              2786	                                2756	                            2756	                                       2756	                                     3167	                                       3134	                                   3134	                                              3134	
Type/Metamodel/PrivateMethodContainer.pod    	             30	                  22	              21	                         21	              157	                147	            145	                       145	                               982	                                 926	                             919	                                        919	                                     1105	                                       1044	                                   1035	                                              1035	
Type/Metamodel/RoleContainer.pod             	             18	                  14	              13	                         13	               97	                 91	             89	                        89	                               580	                                 550	                             543	                                        543	                                      652	                                        619	                                    610	                                               610	
Type/Metamodel/Trusting.pod                  	             39	                  31	              29	                         29	              191	                185	            181	                       181	                              1086	                                1052	                            1038	                                       1038	                                     1245	                                       1208	                                   1190	                                              1190	
Type/Method.pod                              	             11	                   8	               8	                          8	               40	                 36	             36	                        36	                               228	                                 211	                             211	                                        211	                                      268	                                        249	                                    249	                                               249	
Type/Mix.pod                                 	             37	                  35	              29	                         29	              427	                423	            377	                       377	                              2187	                                2171	                            1924	                                       1924	                                     2595	                                       2577	                                   2297	                                              2297	
Type/MixHash.pod                             	             35	                  31	              19	                         19	              440	                432	            325	                       325	                              2353	                                2313	                            1705	                                       1705	                                     2786	                                       2742	                                   1999	                                              1999	
Type/Mixy.pod                                	             19	                  16	              12	                         12	              120	                114	             98	                        98	                               565	                                 536	                             449	                                        449	                                      650	                                        618	                                    522	                                               522	
Type/Mu.pod                                  	            172	                 160	             146	                        145	             1287	               1268	           1204	                      1202	                              6712	                                6604	                            6262	                                       6250	                                     8015	                                       7896	                                   7500	                                              7487	
Type/nativeInt.pod                           	              6	                   0	               3	                          0	               21	                  0	             16	                         0	                               112	                                   0	                              92	                                          0	                                      128	                                          0	                                    106	                                                 0	
Type/NFC.pod                                 	              7	                   0	               4	                          0	               38	                  0	             28	                         0	                               218	                                   0	                             168	                                          0	                                      246	                                          0	                                    190	                                                 0	
Type/NFD.pod                                 	              7	                   0	               3	                          0	               38	                  0	             24	                         0	                               220	                                   0	                             152	                                          0	                                      248	                                          0	                                    168	                                                 0	
Type/NFKC.pod                                	              7	                   0	               2	                          0	               39	                  0	             22	                         0	                               233	                                   0	                             151	                                          0	                                      262	                                          0	                                    166	                                                 0	
Type/NFKD.pod                                	              7	                   0	               2	                          0	               39	                  0	             22	                         0	                               234	                                   0	                             152	                                          0	                                      263	                                          0	                                    167	                                                 0	
Type/Nil.pod                                 	             74	                  70	              61	                         61	              549	                537	            509	                       509	                              2572	                                2509	                            2365	                                       2365	                                     3206	                                       3136	                                   2972	                                              2972	
Type/Num.pod                                 	              8	                   6	               6	                          6	               42	                 38	             38	                        38	                               217	                                 201	                             201	                                        201	                                      249	                                        231	                                    231	                                               231	
Type/Numeric.pod                             	             79	                  76	              65	                         65	              633	                627	            590	                       590	                              3046	                                3017	                            2815	                                       2815	                                     3523	                                       3491	                                   3266	                                              3266	
Type/ObjAt.pod                               	              7	                   5	               5	                          5	               52	                 48	             48	                        48	                               265	                                 249	                             249	                                        249	                                      307	                                        289	                                    289	                                               289	
Type/Pair.pod                                	             65	                  61	              48	                         47	              373	                364	            343	                       340	                              1753	                                1708	                            1597	                                       1581	                                     2161	                                       2111	                                   1992	                                              1974	
Type/Parameter.pod                           	            102	                  97	              92	                         92	              913	                907	            893	                       893	                              5109	                                5078	                            5001	                                       5001	                                     6032	                                       5998	                                   5912	                                              5912	
Type/Pod/Block.pod                           	             25	                  22	              20	                         20	              118	                112	            108	                       108	                               602	                                 573	                             553	                                        553	                                      738	                                        706	                                    684	                                               684	
Type/Pod/Block/Code.pod                      	             10	                   7	               7	                          7	               54	                 48	             48	                        48	                               278	                                 249	                             249	                                        249	                                      318	                                        286	                                    286	                                               286	
Type/Pod/Block/Named.pod                     	             15	                  10	               9	                          9	               61	                 53	             50	                        50	                               304	                                 262	                             246	                                        246	                                      343	                                        297	                                    279	                                               279	
Type/Pod/Block/Para.pod                      	              6	                   0	               4	                          0	               27	                  0	             23	                         0	                               132	                                   0	                             116	                                          0	                                      150	                                          0	                                    132	                                                 0	
Type/Pod/Item.pod                            	             10	                   7	               7	                          7	               47	                 41	             41	                        41	                               232	                                 203	                             203	                                        203	                                      266	                                        234	                                    234	                                               234	
Type/Positional.pod                          	             12	                   9	               9	                          9	               67	                 61	             61	                        61	                               383	                                 354	                             354	                                        354	                                      433	                                        401	                                    401	                                               401	
Type/PositionalBindFailover.pod              	             26	                  21	              19	                         19	              232	                226	            220	                       220	                              1258	                                1227	                            1191	                                       1191	                                     1444	                                       1410	                                   1370	                                              1370	
Type/Proc.pod                                	             62	                  59	              50	                         50	              501	                495	            471	                       471	                              2463	                                2434	                            2306	                                       2306	                                     2872	                                       2840	                                   2689	                                              2689	
Type/Proc/Async.pod                          	            106	                  92	              77	                         77	             1182	               1145	            977	                       977	                              6152	                                5898	                            5003	                                       5003	                                     6975	                                       6691	                                   5695	                                              5695	
Type/Proc/Status.pod                         	             24	                  20	              17	                         17	              167	                161	            152	                       152	                               865	                                 835	                             782	                                        782	                                     1028	                                        995	                                    936	                                               936	
Type/Promise.pod                             	            159	                 139	             127	                        127	             1123	               1102	           1043	                      1043	                              5729	                                5612	                            5328	                                       5328	                                     6706	                                       6574	                                   6240	                                              6240	
Type/Proxy.pod                               	             23	                  18	              16	                         16	              152	                146	            142	                       142	                               749	                                 718	                             693	                                        693	                                      895	                                        861	                                    834	                                               834	
Type/QuantHash.pod                           	              9	                   7	               7	                          7	              123	                119	            119	                       119	                               598	                                 582	                             582	                                        582	                                      697	                                        679	                                    679	                                               679	
